product,entry,kegg,name,formula,metanetx,modelseed,bigg,chebi,metacyc,sabio_rk,reactome,smiles
hyaluronic acid,C00518,C00518,Hyaluronate,(C14H21NO12)n,MNXM731995,,,,,,,*O[C@@H]1O[C@H](C(=O)O)[C@@H](O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O*)[C@H]2NC(C)=O)[C@H](O)[C@H]1O
poly-g-glutamic acid,,,,,,,,,,,,
L-lysine,C00047,C00047,L-Lysine,C6H14N2O2,MNXM1106164,cpd00039;cpd19182,lys__L,133538;18019;25094;32550;32551;32552;32563;32564;32565,LYS,22945;79,R-ALL-29444;R-ALL-351979;R-ALL-351991;R-ALL-428004,NCCCC[C@H](N)C(=O)O
β-alanine,C00099,C00099,beta-Alanine,C3H7NO2,MNXM144,cpd00085,ala_B,16958;57966;63070,B-ALANINE,1932,R-ALL-352021;R-ALL-73590;R-ALL-909777,NCCC(=O)O
xylitol,C00379,C00379,Xylitol,C5H12O5,MNXM737068,cpd00306,xylt,17151,XYLITOL,2033,,OC[C@H](O)[C@@H](O)[C@H](O)CO
5-aminolevulinic acid,,,,,,,,,,,,
polysialic acid,,,,,,,,,,,,
succinate,C00042,C00042,Succinate,C4H6O4,MNXM25,cpd00036,succ,15741;172952;30031;30779;90372,SUC,1924,R-ALL-113536;R-ALL-159939;R-ALL-1650769;R-ALL-29434;R-ALL-389583;R-ALL-433123,O=C(O)CCC(=O)O
fengycin,C12042,C12042,Fengycin,C72H110N12O20,MNXM737843,cpd08833,,29583,,,,CCCCCCCCCCCCC[C@@H](O)CC(=O)N[C@@H](CCC(=O)O)C(=O)N[C@H](CCCN)C(=O)N[C@H]1Cc2ccc(cc2)OC(=O)[C@H]([C@@H](C)CC)NC(=O)[C@@H](Cc2ccc(O)cc2)NC(=O)[C@H](CCC(N)=O)NC(=O)[C@@H]2CCCN2C(=O)[C@@H](C)NC(=O)[C@H](CCC(=O)O)NC(=O)[C@@H]([C@@H](C)O)NC1=O
pyruvate,C00022,C00022,Pyruvate,C3H4O3,MNXM23,cpd00020,pyr,15361;177913;32816,PYRUVATE,33,R-ALL-113557;R-ALL-29398;R-ALL-389680;R-ALL-429750,CC(=O)C(=O)O
