doi,short_name,uniprotkb,protein,genbank_id
10.1002.1439-7633(20020104)3.1.47..AID-CBIC47.3.0.CO;2-N,PykF,A0AAD2U8V0,Pyruvate kinase PykF,XCO03859.1
10.1002.1439-7633(20020104)3.1.47..AID-CBIC47.3.0.CO;2-N,GalU,A0AAD2S1L8,UTP--glucose-1-phosphate uridylyltransferase GalU,WP_354689782.1
10.1002.advs.202302417,SstT,P0AGE4,Serine/threonine transporter SstT,WP_354692241.1
10.1002.advs.202302417,thrL,A0A024L8A3,thr operon leader peptide,XCO06363.1
10.1002.advs.202302417,ftsZ,P0A9A6,Cell division protein FtsZ,WP_354692265.1
10.1002.advs.202307351,glgC,P0A6V1,Glucose-1-phosphate adenylyltransferase,WP_354689002.1
10.1002.advs.202307351,sucA,P0AFG3,2-oxoglutarate dehydrogenase E1 component,WP_354688041.1
10.1002.advs.202307351,zwf,P0AC53,Glucose-6-phosphate 1-dehydrogenase,XP_066165338.1
10.1002.advs.202307351,murA,P0A749,UDP-N-acetylglucosamine 1-carboxyvinyltransferase,WP_354684678.1
10.1002.advs.202307351,otsA,P31677,Trehalose-6-phosphate synthase,WP_354683239.1
10.1002.advs.202307351,gdhA,P00370,NADP-specific glutamate dehydrogenase,WP_354691284.1
10.1002.advs.202307351,glmS,P17169,Glutamine--fructose-6-phosphate aminotransferase [isomerizing],XP_066199646.1
10.1002.advs.202307351,kfoC,Q8L0V4,Chondroitin synthase,XP_066201706.1
10.1002.advs.202307351,glmM,P31120,Phosphoglucosamine mutase,WP_354685440.1
10.1002.advs.202307351,kfoF,Q8L0V8,UDP-glucose 6-dehydrogenase,WP_354690327.1
10.1002.advs.202307351,glnA,P0A9C5,Glutamine synthetase,WP_354691394.1
10.1002.aic.14950,ERG9,P29704,Squalene synthase ERG9,DAA06882.1
10.1002.aic.14950,ERG20,P08524,Farnesyl pyrophosphate synthase,XP_066168481.1
10.1002.aic.14950,ERG1,P32476,Squalene epoxidase ERG1,KAL0633258.1
10.1002.aic.16339,lacI,P03023,Lactose operon repressor,WP_010493381.1
10.1002.aic.16339,xylB,P09099,Xylulose kinase,XP_066207616.1
10.1002.aic.16339,yqhD,Q46856,Alcohol dehydrogenase YqhD,WP_354691950.1
10.1002.aic.16339,xylA,P00944,Xylose isomerase,XCO05607.1
10.1002.aic.16502,SSD1,P24276,Protein SSD1,KAL0635010.1
10.1002.aic.16502,ALD6,P54115,"Magnesium-activated aldehyde dehydrogenase, cytosolic",P54115.4
10.1002.aic.16502,ERG8,P24521,Phosphomevalonate kinase,WP_286643610.1
10.1002.aic.16502,ERG9,P29704,Squalene synthase ERG9,DAA06882.1
10.1002.aic.16502,YBP1,P38315,YAP1-binding protein 1,KAL0635488.1
10.1002.aic.16502,IDI1,P15496,Isopentenyl-diphosphate delta-isomerase,WP_354692386.1
10.1002.aic.16502,ERG1,P32476,Squalene epoxidase ERG1,KAL0633258.1
